debug64KUV4:debugZ794FL,initialized,0,,1401773294892
debug64KUV4:debugZ794FL,window_resize,0,"[1024, 726]",1401773294892
debugZI94H2:debugQQBPK1,initialized,0,,1401773717448
debugZI94H2:debugQQBPK1,window_resize,0,"[1024, 726]",1401773717448
debugP2RBJB:debug0SI5MP,initialized,0,,1401775643442
debugP2RBJB:debug0SI5MP,window_resize,1,"[1024, 726]",1401775643443
debugLZ3WZJ:debugGPUD0D,initialized,0,,1401776113839
debugLZ3WZJ:debugGPUD0D,window_resize,1,"[1024, 726]",1401776113840
debugJWKKZ8:debug4R5MU3,initialized,0,,1401776397294
debugJWKKZ8:debug4R5MU3,window_resize,0,"[1024, 726]",1401776397294
debugAISQ81:debugZ1XH1H,initialized,0,,1401776527268
debugAISQ81:debugZ1XH1H,window_resize,0,"[1024, 726]",1401776527268
debugJ9ULXJ:debugEVLI7K,initialized,0,,1401776589026
debugJ9ULXJ:debugEVLI7K,window_resize,1,"[1024, 726]",1401776589027
debug90XHSZ:debugOAXKRC,initialized,0,,1401776670889
debug90XHSZ:debugOAXKRC,window_resize,0,"[1024, 726]",1401776670889
debug12ZU55:debugVKW9PT,initialized,0,,1401779578519
debug12ZU55:debugVKW9PT,window_resize,0,"[1024, 726]",1401779578519
debugVEE7VO:debug2GAJ6R,initialized,0,,1401779718614
debugVEE7VO:debug2GAJ6R,window_resize,0,"[1024, 726]",1401779718614
debugBVO6XG:debug63898O,initialized,0,,1401779817768
debugBVO6XG:debug63898O,window_resize,1,"[1024, 726]",1401779817769
debug4B3NNC:debugX8NXO7,initialized,0,,1401781174880
debug4B3NNC:debugX8NXO7,window_resize,1,"[1024, 726]",1401781174881
debugXTJUOW:debugEJ1P9H,initialized,0,,1401781228727
debugXTJUOW:debugEJ1P9H,window_resize,1,"[1024, 726]",1401781228728
debugDQHYD0:debugO1H2JB,initialized,0,,1401781413779
debugDQHYD0:debugO1H2JB,window_resize,0,"[1024, 726]",1401781413779
debugJ4A2Y1:debugFLHF65,initialized,0,,1401781874797
debugJ4A2Y1:debugFLHF65,window_resize,0,"[1024, 726]",1401781874797
debugYZ1DBK:debugP5ZDHG,initialized,0,,1401781959353
debugYZ1DBK:debugP5ZDHG,window_resize,0,"[1024, 726]",1401781959353
debugYZ1DBK:debugP5ZDHG,focus,19233,off,1401781978586
debug0ZC4RC:debug6R05DD,initialized,0,,1401782043586
debug0ZC4RC:debug6R05DD,window_resize,0,"[1024, 726]",1401782043586
debugRLCUQ9:debug4Z2FH9,initialized,0,,1401782107080
debugRLCUQ9:debug4Z2FH9,window_resize,1,"[1024, 726]",1401782107081
debugS9CFYW:debugQKT9X2,initialized,0,,1401782168962
debugS9CFYW:debugQKT9X2,window_resize,0,"[1024, 726]",1401782168962
debug22H3TM:debugLSGPAM,initialized,0,,1401782285812
debug22H3TM:debugLSGPAM,window_resize,0,"[1024, 726]",1401782285812
debugI0E0Y3:debugEIFU2T,initialized,0,,1401782325272
debugI0E0Y3:debugEIFU2T,window_resize,0,"[1024, 726]",1401782325272
debugT3A47A:debugKSFERO,initialized,0,,1401782377803
debugT3A47A:debugKSFERO,window_resize,0,"[1024, 726]",1401782377803
debugN26HBV:debug44TWMV,initialized,0,,1401782432372
debugN26HBV:debug44TWMV,window_resize,0,"[1024, 726]",1401782432372
debugWV75BY:debugR17SA8,initialized,0,,1401782617345
debugWV75BY:debugR17SA8,window_resize,0,"[1024, 726]",1401782617345
debug5FBDY8:debug9WYQWR,initialized,0,,1401782673069
debug5FBDY8:debug9WYQWR,window_resize,0,"[1024, 726]",1401782673069
debug2RT4ZO:debugYY3AVP,initialized,0,,1401782762361
debug2RT4ZO:debugYY3AVP,window_resize,0,"[1024, 726]",1401782762361
debug52GTAL:debugEAVUE6,initialized,0,,1401782925798
debug52GTAL:debugEAVUE6,window_resize,0,"[1024, 726]",1401782925798
debug3G6HW2:debug6EDOT4,initialized,0,,1401782954860
debug3G6HW2:debug6EDOT4,window_resize,0,"[1024, 726]",1401782954860
debugIAV1M6:debugBDLVXI,initialized,0,,1401783026650
debugIAV1M6:debugBDLVXI,window_resize,1,"[1024, 726]",1401783026651
debugN2N708:debugT4L77P,initialized,0,,1401783627092
debugN2N708:debugT4L77P,window_resize,0,"[1024, 726]",1401783627092
debugAJD4PH:debugURB50Y,initialized,0,,1401784213564
debugAJD4PH:debugURB50Y,window_resize,0,"[1024, 726]",1401784213564
